[2023-01-27 15:55:42,015] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:00:15,959] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:00:16,039] Register - Step 10: Click to 'Register' button
[2023-01-27 16:00:16,770] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:00:16,872] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:00:17,653] Login - Step 02:  Input to 'Email' textbox with value is: 'abc50732@mail.com'
[2023-01-27 16:00:17,734] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:00:17,813] Login - Step 04: Click to 'Login' button
[2023-01-27 16:00:18,449] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:00:18,506] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:00:18,877] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:00:18,947] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:00:19,328] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:00:19,395] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:00:19,452] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:00:19,514] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:00:19,579] OS name = Windows 11
[2023-01-27 16:00:19,579] Driver instance name = firefoxdriver: firefox on windows (7128cc9f-cefd-49e3-9c5f-b839d90c0565)
[2023-01-27 16:00:22,709] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:00:23,239] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:00:23,310] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:00:23,429] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:00:23,550] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:00:23,828] Register - Step 06:  Input to 'Email' textbox with value is: 'abc65855@mail.com'
[2023-01-27 16:00:23,946] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:00:23,993] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:00:24,108] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:00:24,230] Register - Step 10: Click to 'Register' button
[2023-01-27 16:00:24,939] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:00:24,990] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:00:25,757] Login - Step 02:  Input to 'Email' textbox with value is: 'abc65855@mail.com'
[2023-01-27 16:00:25,877] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:00:25,997] Login - Step 04: Click to 'Login' button
[2023-01-27 16:00:26,663] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:00:26,721] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:00:27,097] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:00:27,161] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:00:27,550] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:00:27,608] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:00:27,667] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:00:27,731] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:00:27,792] OS name = Windows 11
[2023-01-27 16:00:27,792] Driver instance name = chromedriver: chrome on windows (b6b8b34a3d7808f8ae289c7449cc9872)
[2023-01-27 16:02:56,482] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:02:57,609] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:02:57,870] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:02:57,956] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:02:58,046] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:02:58,927] Register - Step 06:  Input to 'Email' textbox with value is: 'abc43543@mail.com'
[2023-01-27 16:02:59,007] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:02:59,045] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:02:59,131] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:02:59,208] Register - Step 10: Click to 'Register' button
[2023-01-27 16:02:59,919] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:03:00,032] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:03:00,787] Login - Step 02:  Input to 'Email' textbox with value is: 'abc43543@mail.com'
[2023-01-27 16:03:00,863] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:03:00,939] Login - Step 04: Click to 'Login' button
[2023-01-27 16:03:01,669] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:03:01,747] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:03:02,145] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:03:02,216] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:03:02,596] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:03:02,663] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:03:02,723] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:03:02,785] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:03:02,850] OS name = Windows 11
[2023-01-27 16:03:02,850] Driver instance name = firefoxdriver: firefox on windows (50d17102-a725-4d10-8147-aa9e897258a0)
[2023-01-27 16:03:06,045] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:03:07,102] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:03:07,177] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:03:07,295] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:03:07,403] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:03:07,698] Register - Step 06:  Input to 'Email' textbox with value is: 'abc8034@mail.com'
[2023-01-27 16:03:07,812] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:03:07,862] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:03:07,979] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:03:08,087] Register - Step 10: Click to 'Register' button
[2023-01-27 16:03:08,732] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:03:08,781] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:03:09,536] Login - Step 02:  Input to 'Email' textbox with value is: 'abc8034@mail.com'
[2023-01-27 16:03:09,653] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:03:09,772] Login - Step 04: Click to 'Login' button
[2023-01-27 16:03:10,411] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:03:10,475] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:03:10,841] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:03:10,912] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:03:11,277] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:03:11,344] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:03:11,404] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:03:11,465] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:03:11,529] OS name = Windows 11
[2023-01-27 16:03:11,529] Driver instance name = chromedriver: chrome on windows (f693cc1248176114efc8515c74bc4478)
[2023-01-27 16:11:22,629] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:11:23,711] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:11:24,009] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:11:24,108] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:11:24,183] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:11:25,065] Register - Step 06:  Input to 'Email' textbox with value is: 'abc15231@mail.com'
[2023-01-27 16:11:25,143] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:11:25,183] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:11:25,265] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:11:25,343] Register - Step 10: Click to 'Register' button
[2023-01-27 16:11:26,671] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:11:26,789] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:11:27,735] Login - Step 02:  Input to 'Email' textbox with value is: 'abc15231@mail.com'
[2023-01-27 16:11:27,821] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:11:27,897] Login - Step 04: Click to 'Login' button
[2023-01-27 16:11:28,798] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:11:28,870] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:11:29,376] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:11:29,446] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:11:30,026] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:11:30,094] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:11:30,154] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:11:30,217] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:11:30,281] OS name = Windows 11
[2023-01-27 16:11:30,282] Driver instance name = firefoxdriver: firefox on windows (8be61e4c-7d14-4745-ac61-16f57048a653)
[2023-01-27 16:11:33,518] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:11:34,576] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:11:34,655] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:11:34,773] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:11:34,895] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:11:35,189] Register - Step 06:  Input to 'Email' textbox with value is: 'abc15989@mail.com'
[2023-01-27 16:11:35,306] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:11:35,356] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:11:35,468] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:11:35,574] Register - Step 10: Click to 'Register' button
[2023-01-27 16:11:36,205] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:11:36,259] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:11:36,996] Login - Step 02:  Input to 'Email' textbox with value is: 'abc15989@mail.com'
[2023-01-27 16:11:37,114] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:11:37,233] Login - Step 04: Click to 'Login' button
[2023-01-27 16:11:37,868] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:11:37,925] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:11:38,315] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:11:38,377] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:11:38,724] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:11:38,777] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:11:38,838] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:11:38,900] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:11:38,961] OS name = Windows 11
[2023-01-27 16:11:38,961] Driver instance name = chromedriver: chrome on windows (2db70de00d3c9b93d2f48b37b47cbf9f)
[2023-01-27 16:19:31,916] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:19:32,973] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:19:33,245] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:19:33,329] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:19:33,406] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:19:34,326] Register - Step 06:  Input to 'Email' textbox with value is: 'abc75652@mail.com'
[2023-01-27 16:19:34,412] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:19:34,452] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:19:34,535] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:19:34,614] Register - Step 10: Click to 'Register' button
[2023-01-27 16:19:35,254] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:19:35,368] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:19:36,089] Login - Step 02:  Input to 'Email' textbox with value is: 'abc75652@mail.com'
[2023-01-27 16:19:36,172] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:19:36,247] Login - Step 04: Click to 'Login' button
[2023-01-27 16:19:36,858] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:19:36,929] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:19:37,267] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:19:37,332] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:19:37,672] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:19:37,733] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:19:37,791] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:19:37,853] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:19:37,918] OS name = Windows 11
[2023-01-27 16:19:37,918] Driver instance name = firefoxdriver: firefox on windows (0550245a-f767-486f-b007-07caa1a58f4b)
[2023-01-27 16:19:41,226] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:19:42,314] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:19:42,387] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:19:42,506] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:19:42,629] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:19:42,910] Register - Step 06:  Input to 'Email' textbox with value is: 'abc40326@mail.com'
[2023-01-27 16:19:43,028] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:19:43,075] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:19:43,193] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:19:43,313] Register - Step 10: Click to 'Register' button
[2023-01-27 16:19:44,039] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:19:44,089] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:19:44,850] Login - Step 02:  Input to 'Email' textbox with value is: 'abc40326@mail.com'
[2023-01-27 16:19:44,973] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:19:45,093] Login - Step 04: Click to 'Login' button
[2023-01-27 16:19:45,814] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:19:45,879] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:19:46,243] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:19:46,302] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:19:46,670] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:19:46,732] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:19:46,792] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:19:46,855] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:19:46,916] OS name = Windows 11
[2023-01-27 16:19:46,916] Driver instance name = chromedriver: chrome on windows (c200fe11762b43515baff6fcac93de52)
[2023-01-27 16:24:59,542] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:25:00,609] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:25:00,880] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:25:00,963] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:25:01,035] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:25:01,918] Register - Step 06:  Input to 'Email' textbox with value is: 'abc69313@mail.com'
[2023-01-27 16:25:01,996] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:25:02,036] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:25:02,118] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:25:02,195] Register - Step 10: Click to 'Register' button
[2023-01-27 16:25:02,865] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:25:02,961] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:26:42,936] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:26:43,992] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:26:44,264] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:26:44,350] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:26:44,439] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:26:45,318] Register - Step 06:  Input to 'Email' textbox with value is: 'abc79077@mail.com'
[2023-01-27 16:26:45,398] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:26:45,439] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:26:45,520] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:26:45,598] Register - Step 10: Click to 'Register' button
[2023-01-27 16:26:46,285] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:26:46,401] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:26:47,156] Login - Step 02:  Input to 'Email' textbox with value is: 'abc79077@mail.com'
[2023-01-27 16:26:47,235] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:26:47,311] Login - Step 04: Click to 'Login' button
[2023-01-27 16:26:47,961] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:26:48,024] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:26:48,379] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:26:48,447] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:26:48,791] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:26:48,860] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:26:48,919] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:26:48,981] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:26:49,047] OS name = Windows 11
[2023-01-27 16:26:49,047] Driver instance name = firefoxdriver: firefox on windows (643ad10d-dde7-4045-b88d-6554dffead09)
[2023-01-27 16:26:52,018] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:26:53,172] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:26:53,253] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:26:53,377] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:26:53,496] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:26:53,779] Register - Step 06:  Input to 'Email' textbox with value is: 'abc18531@mail.com'
[2023-01-27 16:26:53,913] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:26:53,959] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:26:54,077] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:26:54,186] Register - Step 10: Click to 'Register' button
[2023-01-27 16:26:54,862] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:26:54,912] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:26:55,640] Login - Step 02:  Input to 'Email' textbox with value is: 'abc18531@mail.com'
[2023-01-27 16:26:55,755] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:26:55,873] Login - Step 04: Click to 'Login' button
[2023-01-27 16:26:56,529] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:26:56,593] Login - Step 06: Navigate to 'Customer Info' page
[2023-01-27 16:26:56,963] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-01-27 16:26:57,031] MyAccount - Step 01: Navigate to 'Customer Info' page
[2023-01-27 16:26:57,406] My_Account - Step 02: Verify 'Customer Info' page is displayed
[2023-01-27 16:26:57,462] My_Account - Step 03: Verify registered 'First Name' value is displayed
[2023-01-27 16:26:57,523] My_Account - Step 04: Verify registered 'Last Name' value is displayed
[2023-01-27 16:26:57,586] My_Account - Step 05: Verify registered 'Email' value is displayed
[2023-01-27 16:26:57,647] OS name = Windows 11
[2023-01-27 16:26:57,648] Driver instance name = chromedriver: chrome on windows (4fed1e928c5f91e226c54d9f6a10786a)
[2023-01-27 16:37:29,490] Register - Step 01: Navigate to 'Register' page
[2023-01-27 16:37:30,476] Register - Step 02: Choose 'Female' radio button
[2023-01-27 16:37:30,747] Register - Step 03: Input to 'Firstname' textbox with value is: 'automation'
[2023-01-27 16:37:30,827] Register - Step 04:  Input to 'Lastname' textbox with value is: 'test'
[2023-01-27 16:37:30,902] Register - Step 05:  Select 'Date Of Birth' with value is: '14January1988'
[2023-01-27 16:37:31,781] Register - Step 06:  Input to 'Email' textbox with value is: 'abc68805@mail.com'
[2023-01-27 16:37:31,860] Register - Step 07:  Check to 'Newsletter' checkbox
[2023-01-27 16:37:31,900] Register - Step 08:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:37:31,983] Register - Step 09:  Input to 'Confirm Password' textbox with value is: '123456'
[2023-01-27 16:37:32,058] Register - Step 10: Click to 'Register' button
[2023-01-27 16:37:32,727] Register - Step 11: Verify register success message is displayed
[2023-01-27 16:37:32,828] Login - Step 01: Navigate to 'Login' page
[2023-01-27 16:37:33,560] Login - Step 02:  Input to 'Email' textbox with value is: 'abc68805@mail.com'
[2023-01-27 16:37:33,649] Login - Step 03:  Input to 'Password' textbox with value is: '123456'
[2023-01-27 16:37:33,725] Login - Step 04: Click to 'Login' button
[2023-01-27 16:37:34,321] Login - Step 05: Verify 'My Account' link is displayed
[2023-01-27 16:37:34,392] Login - Step 06: Navigate to 'Customer Info' page
